slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
paine,"Paine",PAINE,2014-15,2017-18,3,34
palm-beach-atl,"Palm Beach Atl.",PBA,2011-12,2016-17,3,34
park-gilbert,"Park-Gilbert",PARK-G,2023-24,2024-25,2,23
paul-quinn,"Paul Quinn",PQ,2011-12,2024-25,7,63
pba,"PBA",PBA,2018-19,2019-20,2,21
penn-college,"Penn College",PC,2023-24,2023-24,1,13
penn-st,"Penn St.",PS,2010-11,2022-23,13,205
penn-st-abington,"Penn St. Abington",PSA,2011-12,2011-12,1,11
penn-st-altoona,"Penn St. Altoona",PSA,2011-12,2011-12,1,11
penn-st-beaver,"Penn St-Beaver",PS,2014-15,2014-15,1,12
penn-st-brandywine,"Penn St-Brandywine",PS,2017-18,2017-18,1,15
penn-st-harrisburg,"Penn St. Harrisburg",PSH,2014-15,2015-16,2,30
penn-st-mont-alto,"Penn St-Mont Alto",PSA,2014-15,2014-15,1,10
penn-st-wilkes-barre,"Penn St-Wilkes Barre",PSB,2018-19,2019-20,2,31
penn-st-york,"Penn St-York",PS,2019-20,2019-20,1,11
penn-state,"Penn State",PS,2023-24,2025-26,3,38
pennsylvania,"Pennsylvania",PENNSY,2010-11,2025-26,15,274
pensacola-cc,"Pensacola CC",PC,2014-15,2018-19,3,34
pepperdine,"Pepperdine",PEPPER,2010-11,2025-26,16,260
peru-st,"Peru St.",PS,2011-12,2019-20,5,62
pfeiffer,"Pfeiffer",PFEIFF,2014-15,2024-25,6,92
pfw,"PFW",PFW,2010-11,2025-26,16,217
philander-smith,"Philander Smith",PS,2011-12,2011-12,1,9
piedmont,"Piedmont",PIEDMO,2011-12,2024-25,10,135
piedmont-internat,"Piedmont Internat.",PI,2014-15,2017-18,4,43
pikeville,"Pikeville",PIKEVI,2019-20,2019-20,1,14
pine-manor,"Pine Manor",PM,2015-16,2019-20,3,31
pitt-bradford,"Pitt-Bradford",PITT-B,2015-16,2024-25,3,43
pitt-greensburg,"Pitt-Greensburg",PITT-G,2023-24,2023-24,1,11
pittsburgh,"Pittsburgh",PITTSB,2010-11,2025-26,16,240
plattsburgh-st,"Plattsburgh St.",PS,2023-24,2024-25,2,33
plnu,"PLNU",PLNU,2023-24,2023-24,1,10
point-ga,"Point GA",PG,2011-12,2024-25,4,43
point-loma,"Point Loma",PL,2012-13,2015-16,2,22
point-park,"Point Park",PP,2020-21,2023-24,2,22
polytechnic,"Polytechnic",POLYTE,2011-12,2011-12,1,13
pomona-pitzer,"Pomona-Pitzer",POMONA,2011-12,2016-17,2,30
portland,"Portland",PORTLA,2010-11,2025-26,16,245
portland-bible,"Portland Bible",PB,2012-13,2023-24,5,53
portland-st,"Portland St.",PS,2010-11,2025-26,16,244
potsdam-st,"Potsdam St.",PS,2019-20,2023-24,2,30
pr-bayamon,"PR-Bayamon",PR-BAY,2024-25,2024-25,1,10
pr-mayaguez,"PR-Mayaguez",PR-MAY,2024-25,2024-25,1,10
pr-rio-piedras,"PR-Rio Piedras",PP,2024-25,2024-25,1,15
prairie-view-a-m,"Prairie View A&M",PVA,2010-11,2017-18,8,162
pratt,"Pratt",PRATT,2024-25,2024-25,1,13
presbyterian,"Presbyterian",PRESBY,2010-11,2025-26,16,256
presentation,"Presentation",PRESEN,2013-14,2018-19,5,62
