slug,teamName,abbreviation,seasonMin,seasonMax,seasonCount,playerSeasonRows
gettysburg,"Gettysburg",GETTYS,2019-20,2019-20,1,15
gmc,"GMC",GMC,2023-24,2024-25,2,28
gmu,"GMU",GMU,2018-19,2025-26,8,109
goldey-beacom,"Goldey-Beacom",GOLDEY,2014-15,2017-18,4,43
gonzaga,"Gonzaga",GONZAG,2010-11,2025-26,16,242
gordon,"Gordon",GORDON,2017-18,2023-24,3,37
goshen,"Goshen",GOSHEN,2014-15,2024-25,6,82
goucher,"Goucher",GOUCHE,2013-14,2019-20,7,96
grace-bible,"Grace Bible",GB,2013-14,2015-16,2,24
grace-coll,"Grace Coll.",GC,2016-17,2016-17,1,12
graceland,"Graceland",GRACEL,2013-14,2013-14,1,11
grambling-st,"Grambling St.",GS,2010-11,2017-18,8,153
grand-canyon,"Grand Canyon",GC,2011-12,2017-18,6,82
green-bay,"Green Bay",GB,2010-11,2025-26,16,229
greensboro,"Greensboro",GREENS,2012-13,2023-24,10,149
greenville,"Greenville",GREENV,2011-12,2020-21,5,66
gsc,"GSC",GSC,2018-19,2018-19,1,9
gsu,"GSU",GSU,2018-19,2025-26,8,125
guilford,"Guilford",GUILFO,2011-12,2013-14,2,24
gwu,"GWU",GWU,2018-19,2025-26,8,104
gwynedd-mercy,"Gwynedd-Mercy",GWYNED,2013-14,2014-15,2,22
hampden-sydney,"Hampden-Sydney",HAMPDE,2014-15,2014-15,1,14
hampton,"Hampton",HAMPTO,2010-11,2025-26,16,267
hannibal-lg,"Hannibal-LG",HANNIB,2011-12,2017-18,6,74
hanover,"Hanover",HANOVE,2012-13,2012-13,1,13
hardin-simmons,"Hardin-Simmons",HARDIN,2012-13,2017-18,4,50
harding,"Harding",HARDIN,2011-12,2018-19,2,26
harris-stowe-st,"Harris-Stowe St.",HS,2011-12,2024-25,7,81
hartford,"Hartford",HARTFO,2010-11,2023-24,14,227
hartwick,"Hartwick",HARTWI,2014-15,2019-20,4,53
harvard,"Harvard",HARVAR,2010-11,2025-26,15,286
haskell,"Haskell",HASKEL,2011-12,2024-25,6,71
hastings,"Hastings",HASTIN,2011-12,2011-12,1,15
haverford,"Haverford",HAVERF,2012-13,2013-14,2,23
hawaii,"Hawaii",HAWAII,2010-11,2025-26,16,237
hawaii-hilo,"Hawaii-Hilo",HAWAII,2011-12,2024-25,10,113
hawaii-pacific,"Hawaii Pacific",HP,2013-14,2015-16,2,23
hbu,"HBU",HBU,2018-19,2021-22,4,55
hcu,"HCU",HCU,2022-23,2025-26,4,53
heidelberg,"Heidelberg",HEIDEL,2013-14,2024-25,5,62
henderson-st,"Henderson St.",HS,2011-12,2017-18,4,37
hendrix,"Hendrix",HENDRI,2013-14,2023-24,4,64
high-point,"High Point",HP,2010-11,2025-26,16,261
hillsdale,"Hillsdale",HILLSD,2014-15,2014-15,1,12
hiram,"Hiram",HIRAM,2011-12,2019-20,4,70
hiwassee,"Hiwassee",HIWASS,2013-14,2018-19,6,89
hlgu,"HLGU",HLGU,2023-24,2024-25,2,23
hofstra,"Hofstra",HOFSTR,2010-11,2025-26,16,219
holy-cross,"Holy Cross",HC,2010-11,2025-26,16,257
holy-cross-coll,"Holy Cross Coll.",HCC,2011-12,2024-25,2,30
holy-family,"Holy Family",HF,2024-25,2024-25,1,12
holy-names,"Holy Names",HN,2011-12,2019-20,8,104
hood,"Hood",HOOD,2014-15,2023-24,4,57
hope,"Hope",HOPE,2011-12,2011-12,1,16
hope-international,"Hope International",HI,2011-12,2013-14,2,21
houghton,"Houghton",HOUGHT,2013-14,2024-25,3,40
houston,"Houston",HOUSTO,2010-11,2025-26,16,238
houston-baptist,"Houston Baptist",HB,2010-11,2017-18,8,153
howard,"Howard",HOWARD,2010-11,2025-26,16,266
howard-payne,"Howard Payne",HP,2011-12,2024-25,11,186
hpu,"HPU",HPU,2019-20,2024-25,4,43
hsc,"HSC",HSC,2019-20,2019-20,1,3
hsu,"HSU",HSU,2018-19,2024-25,4,56
humboldt-st,"Humboldt St.",HS,2018-19,2018-19,1,14
huntingdon,"Huntingdon",HUNTIN,2018-19,2018-19,1,16
huston-tillotson,"Huston-Tillotson",HUSTON,2011-12,2019-20,7,90
idaho,"Idaho",IDAHO,2010-11,2025-26,16,234
idaho-coll,"Idaho Coll.",IC,2012-13,2020-21,4,53
idaho-st,"Idaho St.",IS,2010-11,2025-26,16,255
iliinois-tech,"IlIinois Tech",IT,2015-16,2023-24,4,51
ill-chicago,"Ill.-Chicago",ILL.-C,2010-11,2017-18,8,149
ill-springfield,"Ill.-Springfield",ILL.-S,2011-12,2017-18,6,71
illinois,"Illinois",ILLINO,2010-11,2025-26,16,242
illinois-st,"Illinois St.",IS,2010-11,2025-26,16,233
immaculata,"Immaculata",IMMACU,2013-14,2024-25,3,43
incarnate-word,"Incarnate Word",IW,2013-14,2017-18,5,66
indiana,"Indiana",INDIAN,2010-11,2025-26,16,264
indiana-st,"Indiana St.",IS,2010-11,2025-26,16,233
indiana-tech,"Indiana Tech",IT,2013-14,2013-14,1,10
indianapolis,"Indianapolis",INDIAN,2017-18,2017-18,1,13
iona,"Iona",IONA,2010-11,2025-26,16,249
iowa,"Iowa",IOWA,2010-11,2025-26,16,263
iowa-st,"Iowa St.",IS,2010-11,2025-26,16,231
iowa-wesleyan,"Iowa Wesleyan",IW,2013-14,2014-15,2,31
iu-columbus,"IU Columbus",IC,2024-25,2024-25,1,13
iu-east,"IU East",IE,2012-13,2012-13,1,13
iu-kokomo,"IU Kokomo",IK,2011-12,2019-20,8,105
iu-northwest,"IU Northwest",IN,2011-12,2023-24,9,104
iu-s-bend,"IU S.Bend",IS,2014-15,2019-20,3,36
iupui,"IUPUI",IUPUI,2010-11,2025-26,16,244
iwu,"IWU",IWU,2019-20,2019-20,1,14
j-and-wales-co,"J.and Wales CO",JWC,2011-12,2017-18,4,53
j-and-wales-nc,"J.and Wales NC",JWN,2011-12,2017-18,7,107
j-and-wales-ri,"J.and Wales RI",JWR,2011-12,2017-18,4,50
jackson-st,"Jackson St.",JS,2010-11,2025-26,16,304
jacksonville,"Jacksonville",JACKSO,2010-11,2025-26,16,247
jacksonville-st,"Jacksonville St.",JS,2010-11,2017-18,8,148
jamestown,"Jamestown",JAMEST,2011-12,2024-25,3,41
jarvis-christian,"Jarvis Christian",JC,2013-14,2023-24,8,121
jax-state,"Jax State",JS,2023-24,2025-26,3,38
jessup,"Jessup",JESSUP,2023-24,2024-25,2,21
jmu,"JMU",JMU,2010-11,2025-26,16,242
john-brown,"John Brown",JB,2015-16,2023-24,3,40
john-jay,"John Jay",JJ,2016-17,2024-25,4,57
johnson-fl,"Johnson FL",JF,2014-15,2023-24,7,82
johnson-tn,"Johnson TN",JT,2014-15,2024-25,4,52
jsu,"JSU",JSU,2018-19,2022-23,5,63
judson,"Judson",JUDSON,2011-12,2024-25,7,100
justice,"Justice",JUSTIC,2024-25,2024-25,1,11
jwu-co,"JWU CO",JWU CO,2018-19,2019-20,2,28
jwu-fl,"JWU FL",JWU FL,2018-19,2018-19,1,14
jwu-nc,"JWU NC",JWU NC,2018-19,2023-24,3,42
jwu-ri,"JWU RI",JWU RI,2018-19,2024-25,4,50
kalamazoo,"Kalamazoo",KALAMA,2013-14,2018-19,2,30
kansas,"Kansas",KANSAS,2010-11,2025-26,16,248
kansas-christian,"Kansas Christian",KC,2020-21,2024-25,3,28
kansas-st,"Kansas St.",KS,2010-11,2025-26,16,243
kean,"Kean",KEAN,2013-14,2024-25,8,103
keene-st,"Keene St.",KS,2020-21,2020-21,1,9
keiser,"Keiser",KEISER,2018-19,2023-24,3,26
kennesaw-st,"Kennesaw St.",KS,2010-11,2017-18,8,138
kent-st,"Kent St.",KS,2010-11,2025-26,16,243
kentucky,"Kentucky",KENTUC,2010-11,2025-26,16,237
kentucky-st,"Kentucky St.",KS,2013-14,2017-18,3,33
kenyon,"Kenyon",KENYON,2011-12,2016-17,3,43
keystone,"Keystone",KEYSTO,2014-15,2023-24,3,40
king,"King",KING,2014-15,2023-24,2,26
ksu,"KSU",KSU,2018-19,2025-26,8,136
kwc,"KWC",KWC,2018-19,2024-25,4,52
ky-christian,"Ky Christian",KC,2014-15,2024-25,8,101
la-lafayette,"La-Lafayette",LA-LAF,2010-11,2021-22,12,203
la-monroe,"La-Monroe",LA-MON,2010-11,2017-18,8,127
la-roche,"La Roche",LR,2013-14,2015-16,2,22
la-salle,"La Salle",LS,2010-11,2025-26,16,233
la-sierra,"La Sierra",LS,2011-12,2024-25,5,65
la-tech,"La Tech",LT,2023-24,2025-26,3,37
la-verne,"La Verne",LV,2011-12,2024-25,9,145
lafayette,"Lafayette",LAFAYE,2010-11,2025-26,16,253
lagrange,"LaGrange",LAGRAN,2011-12,2024-25,6,88
lake-erie,"Lake Erie",LE,2011-12,2023-24,4,52
lakeland,"Lakeland",LAKELA,2017-18,2024-25,2,37
lamar,"Lamar",LAMAR,2010-11,2025-26,16,244
lancaster-bible,"Lancaster Bible",LB,2020-21,2024-25,2,30
lander,"Lander",LANDER,2016-17,2020-21,2,23
lane,"Lane",LANE,2024-25,2024-25,1,10
langston,"Langston",LANGST,2011-12,2014-15,2,22
lawrence-tech,"Lawrence Tech",LT,2017-18,2017-18,1,9
lbsu,"LBSU",LBSU,2018-19,2025-26,8,104
lcu,"LCU",LCU,2023-24,2024-25,2,33
lebanon-valley,"Lebanon Valley",LV,2016-17,2016-17,1,14
lee,"Lee",LEE,2020-21,2020-21,1,10
lees-mcrae,"Lees-McRae",LEES-M,2011-12,2018-19,7,98
lehigh,"Lehigh",LEHIGH,2010-11,2025-26,16,252
lehman,"Lehman",LEHMAN,2024-25,2024-25,1,13
lemoyne,"LeMoyne",LEMOYN,2018-19,2025-26,4,49
lemoyne-owen,"LeMoyne-Owen",LEMOYN,2011-12,2023-24,5,58
lenoir-rhyne,"Lenoir-Rhyne",LENOIR,2012-13,2018-19,2,27
lesley,"Lesley",LESLEY,2013-14,2024-25,4,35
letourneau,"LeTourneau",LETOUR,2011-12,2024-25,10,154
lewis,"Lewis",LEWIS,2017-18,2020-21,2,27
lewis-clark,"Lewis & Clark",L&C,2011-12,2024-25,7,99
lewis-clark-st,"Lewis-Clark St.",LS,2011-12,2014-15,3,29
liberty,"Liberty",LIBERT,2010-11,2025-26,16,255
life,"Life",LIFE,2023-24,2023-24,1,12
life-pacific,"Life Pacific",LP,2015-16,2024-25,7,88
limestone,"Limestone",LIMEST,2013-14,2023-24,6,66
lincoln-ca,"Lincoln CA",LC,2024-25,2024-25,1,11
lincoln-christian,"Lincoln Christian",LC,2017-18,2017-18,1,13
lincoln-mo,"Lincoln MO",LM,2015-16,2024-25,3,33
lincoln-pa,"Lincoln PA",LP,2012-13,2020-21,4,45
lindenwood,"Lindenwood",LINDEN,2018-19,2025-26,6,83
lindsey-wilson,"Lindsey Wilson",LW,2011-12,2024-25,3,34
linfield,"Linfield",LINFIE,2011-12,2023-24,4,66
lipscomb,"Lipscomb",LIPSCO,2010-11,2025-26,16,248
liu-brooklyn,"LIU Brooklyn",LB,2010-11,2025-26,16,242
livingstone,"Livingstone",LIVING,2024-25,2024-25,1,16
lmu,"LMU",LMU,2018-19,2025-26,8,98
long-beach-st,"Long Beach St.",LBS,2010-11,2017-18,8,145
longwood,"Longwood",LONGWO,2010-11,2025-26,16,247
loras,"Loras",LORAS,2011-12,2023-24,2,31
louisiana,"Louisiana",LOUISI,2022-23,2025-26,4,46
louisiana-coll,"Louisiana Coll.",LC,2011-12,2019-20,9,129
louisiana-tech,"Louisiana Tech",LT,2010-11,2022-23,13,201
louisville,"Louisville",LOUISV,2010-11,2025-26,16,257
lourdes,"Lourdes",LOURDE,2015-16,2023-24,3,29
loyola-il,"Loyola IL",LI,2010-11,2025-26,16,265
loyola-la,"Loyola LA",LL,2011-12,2024-25,12,160
loyola-mary,"Loyola Mary",LM,2010-11,2017-18,8,150
loyola-md,"Loyola MD",LM,2010-11,2025-26,16,269
lssu,"LSSU",LSSU,2023-24,2023-24,1,12
lsu,"LSU",LSU,2010-11,2025-26,16,241
lsu-alexandria,"LSU-Alexandria",LSU-AL,2014-15,2016-17,3,37
lsu-shreveport,"LSU-Shreveport",LSU-SH,2015-16,2017-18,3,36
lsua,"LSUA",LSUA,2020-21,2024-25,2,28
lsus,"LSUS",LSUS,2020-21,2023-24,2,19
lubbock-christian,"Lubbock Christian",LC,2012-13,2012-13,1,9
luther,"Luther",LUTHER,2019-20,2023-24,2,27
lynchburg,"Lynchburg",LYNCHB,2011-12,2024-25,4,61
lyndon-st,"Lyndon St.",LS,2011-12,2019-20,9,121
lynn,"Lynn",LYNN,2023-24,2023-24,1,9
lyon,"Lyon",LYON,2011-12,2023-24,7,72
macmurray,"MacMurray",MACMUR,2011-12,2011-12,1,14
macu,"MACU",MACU,2018-19,2024-25,4,109
madonna,"Madonna",MADONN,2012-13,2016-17,3,36
maine,"Maine",MAINE,2010-11,2025-26,16,259
maine-augusta,"Maine-Augusta",MAINE-,2024-25,2024-25,1,13
maine-fort-kent,"Maine-Fort Kent",MK,2013-14,2017-18,4,40
maine-machias,"Maine-Machias",MAINE-,2011-12,2018-19,3,37
maine-maritime,"Maine Maritime",MM,2019-20,2019-20,1,13
maine-presque-i,"Maine-Presque I.",MI,2016-17,2017-18,2,17
malone,"Malone",MALONE,2011-12,2023-24,7,77
manchester,"Manchester",MANCHE,2012-13,2019-20,6,85
manhattan,"Manhattan",MANHAT,2010-11,2025-26,16,263
manhattanville,"Manhattanville",MANHAT,2016-17,2024-25,2,29
manor-cc,"Manor CC",MC,2024-25,2024-25,1,10
mansfield-pa,"Mansfield PA",MP,2012-13,2024-25,3,32
marian,"Marian",MARIAN,2024-25,2024-25,1,11
marian-in,"Marian IN",MI,2015-16,2016-17,2,20
marietta,"Marietta",MARIET,2011-12,2011-12,1,12
marist,"Marist",MARIST,2010-11,2025-26,16,254
marquette,"Marquette",MARQUE,2010-11,2025-26,16,241
mars-hill,"Mars Hill",MH,2011-12,2020-21,9,118
marshall,"Marshall",MARSHA,2010-11,2025-26,16,248
martin-methodist,"Martin Methodist",MM,2012-13,2013-14,2,23
mary,"Mary",MARY,2011-12,2017-18,3,34
mary-baldwin,"Mary Baldwin",MB,2023-24,2024-25,2,28
mary-washington,"Mary Washington",MW,2015-16,2015-16,1,15
marygrove,"Marygrove",MARYGR,2013-14,2016-17,4,51
maryland,"Maryland",MARYLA,2010-11,2025-26,16,248
marymount,"Marymount",MARYMO,2019-20,2019-20,1,13
maryville-mo,"Maryville MO",MM,2011-12,2019-20,3,33
maryville-tn,"Maryville TN",MT,2019-20,2024-25,2,35
marywood,"Marywood",MARYWO,2011-12,2024-25,5,79
mass-boston,"Mass.-Boston",MASS.-,2017-18,2017-18,1,14
mass-lowell,"Mass.-Lowell",MASS.-,2013-14,2017-18,5,60
massachusetts,"Massachusetts",MASSAC,2010-11,2017-18,8,132
